dataset,budget,method,mean_accuracy,std_accuracy
digitdist_5v6,2,TC-BKME-PMAL,0.6616666666666667,0.1408681197450077
digitdist_5v6,3,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,4,TC-BKME-PMAL,0.786111111111111,0.15421045424202232
digitdist_5v6,5,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,6,TC-BKME-PMAL,0.8555555555555557,0.12079341613977165
digitdist_5v6,7,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,8,TC-BKME-PMAL,0.8977777777777776,0.09123467231320977
digitdist_5v6,9,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,10,TC-BKME-PMAL,0.9261111111111109,0.0685182682678113
digitdist_5v6,11,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,12,TC-BKME-PMAL,0.9338888888888885,0.05987126106267155
digitdist_5v6,13,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,14,TC-BKME-PMAL,0.9458333333333335,0.048212652660304944
digitdist_5v6,15,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,16,TC-BKME-PMAL,0.9516666666666667,0.0435003902352299
digitdist_5v6,17,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,18,TC-BKME-PMAL,0.9566666666666667,0.03235127413675704
digitdist_5v6,19,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,20,TC-BKME-PMAL,0.9586111111111112,0.027426951239993638
digitdist_5v6,21,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,22,TC-BKME-PMAL,0.9588888888888885,0.02649248670570305
digitdist_5v6,23,TC-BKME-PMAL,0.5002777777777778,0.001944444444444437
digitdist_5v6,24,TC-BKME-PMAL,0.9649999999999997,0.02277777777777779
digitdist_5v6,25,TC-BKME-PMAL,0.5,0.0
digitdist_5v6,26,TC-BKME-PMAL,0.9672222222222221,0.021652416966561207
digitdist_5v6,27,TC-BKME-PMAL,0.5002777777777778,0.0019444444444444361
digitdist_5v6,28,TC-BKME-PMAL,0.968611111111111,0.020751691884021976
digitdist_5v6,29,TC-BKME-PMAL,0.5016666666666667,0.005299662230094137
digitdist_5v6,30,TC-BKME-PMAL,0.9672222222222223,0.02111111111111112
digitdist_5v6,31,TC-BKME-PMAL,0.5055555555555555,0.014163943093313282
digitdist_5v6,32,TC-BKME-PMAL,0.9688888888888889,0.017907512734762453
digitdist_5v6,33,TC-BKME-PMAL,0.5130555555555556,0.019916879744714833
digitdist_5v6,34,TC-BKME-PMAL,0.9663888888888892,0.02042941778688545
digitdist_5v6,35,TC-BKME-PMAL,0.5283333333333335,0.0440923553744766
digitdist_5v6,36,TC-BKME-PMAL,0.9655555555555556,0.01847587683146211
digitdist_5v6,37,TC-BKME-PMAL,0.5519444444444446,0.06027265723258386
digitdist_5v6,38,TC-BKME-PMAL,0.9666666666666667,0.01778645621509125
digitdist_5v6,39,TC-BKME-PMAL,0.5838888888888889,0.08084049223740034
digitdist_5v6,40,TC-BKME-PMAL,0.966111111111111,0.019476164603286782
digitdist_5v6,41,TC-BKME-PMAL,0.6272222222222223,0.09347377000534611
digitdist_5v6,42,TC-BKME-PMAL,0.9663888888888889,0.019061709404775303
digitdist_5v6,43,TC-BKME-PMAL,0.673888888888889,0.1086973939742353
digitdist_5v6,44,TC-BKME-PMAL,0.9641666666666666,0.020048167306406822
digitdist_5v6,45,TC-BKME-PMAL,0.7166666666666666,0.11097213530798987
digitdist_5v6,46,TC-BKME-PMAL,0.9652777777777777,0.019493984510580844
digitdist_5v6,47,TC-BKME-PMAL,0.768888888888889,0.11299650382442464
digitdist_5v6,48,TC-BKME-PMAL,0.9658333333333331,0.01867732830446028
digitdist_5v6,49,TC-BKME-PMAL,0.798888888888889,0.10787796031158382
digitdist_5v6,50,TC-BKME-PMAL,0.9655555555555556,0.019883922409081434
